timestamp,column,detection_method,handling_strategy,threshold,lower_bound,upper_bound,outlier_count,outlier_percentage,rows_removed,reason/action
2026-08-07T08:02:23.211992+00:00,customer_id,zscore,flag,3.0,996.4170489377075,1014.5829510622925,0,0.0,0,Created binary indicator column 'is_customer_id_outlier'.
2026-08-07T08:02:23.211992+00:00,age,zscore,flag,3.0,-62.01720297516868,161.21720297516868,0,0.0,0,Created binary indicator column 'is_age_outlier'.
2026-08-07T08:02:23.211992+00:00,salary,zscore,flag,3.0,-1981065.4127834183,2618865.4127834183,0,0.0,0,Created binary indicator column 'is_salary_outlier'.
2026-08-07T08:02:23.211992+00:00,purchase_amount,zscore,flag,3.0,-80108.5442797967,99612.96427979671,0,0.0,0,Created binary indicator column 'is_purchase_amount_outlier'.
2026-08-07T08:02:23.211992+00:00,working_hours,zscore,flag,3.0,-81.85677641662288,180.45677641662286,0,0.0,0,Created binary indicator column 'is_working_hours_outlier'.
2026-08-07T08:02:31.106420+00:00,customer_id,iqr,flag,1.5,996.5,1014.5,0,0.0,0,Created binary indicator column 'is_customer_id_outlier'.
2026-08-07T08:02:31.106420+00:00,age,iqr,flag,1.5,-0.5,79.5,1,0.1,0,Created binary indicator column 'is_age_outlier'.
2026-08-07T08:02:31.106420+00:00,salary,iqr,flag,1.5,10500.0,144500.0,1,0.1,0,Created binary indicator column 'is_salary_outlier'.
2026-08-07T08:02:31.106420+00:00,purchase_amount,iqr,flag,1.5,-422.48124999999993,1045.96875,1,0.1,0,Created binary indicator column 'is_purchase_amount_outlier'.
2026-08-07T08:02:31.106420+00:00,working_hours,iqr,flag,1.5,29.875,52.875,2,0.2,0,Created binary indicator column 'is_working_hours_outlier'.
2026-08-07T08:02:37.235431+00:00,customer_id,iqr,cap,1.5,996.5,1014.5,0,0.0,0,Capped 0 values outside boundaries.
2026-08-07T08:02:37.235431+00:00,age,iqr,cap,1.5,-0.5,79.5,1,0.1,0,Capped 1 values outside boundaries.
2026-08-07T08:02:37.235431+00:00,salary,iqr,cap,1.5,10500.0,144500.0,1,0.1,0,Capped 1 values outside boundaries.
2026-08-07T08:02:37.235431+00:00,purchase_amount,iqr,cap,1.5,-422.48124999999993,1045.96875,1,0.1,0,Capped 1 values outside boundaries.
2026-08-07T08:02:37.235431+00:00,working_hours,iqr,cap,1.5,29.875,52.875,2,0.2,0,Capped 2 values outside boundaries.
2026-08-07T08:02:52.161821+00:00,customer_id,iqr,remove,1.5,996.5,1014.5,0,0.0,0,Removed 0 rows containing outliers.
2026-08-07T08:02:52.161821+00:00,age,iqr,remove,1.5,-0.5,79.5,1,0.1,1,Removed 1 rows containing outliers.
2026-08-07T08:02:52.161821+00:00,salary,iqr,remove,1.5,10500.0,144500.0,1,0.1,1,Removed 1 rows containing outliers.
2026-08-07T08:02:52.161821+00:00,purchase_amount,iqr,remove,1.5,-422.48124999999993,1045.96875,1,0.1,1,Removed 1 rows containing outliers.
2026-08-07T08:02:52.161821+00:00,working_hours,iqr,remove,1.5,29.875,52.875,2,0.2,2,Removed 2 rows containing outliers.
2026-08-07T08:03:26.559672+00:00,val1,zscore,flag,3.0,10.0,10.0,0,0.0,0,Created binary indicator column 'is_val1_outlier'.
2026-08-07T08:03:26.559672+00:00,val2,zscore,flag,3.0,10.0,10.0,0,0.0,0,Created binary indicator column 'is_val2_outlier'.
2026-08-07T08:03:34.003463+00:00,val1,iqr,flag,1.5,10.0,10.0,0,0.0,0,Created binary indicator column 'is_val1_outlier'.
2026-08-07T08:03:34.003463+00:00,val2,iqr,flag,1.5,10.0,10.0,0,0.0,0,Created binary indicator column 'is_val2_outlier'.
